baslama_tarihi,gunluk_hacim,havuz_kisi,sla_oran,ort_gecikme,iptal,yurtdisi,yurtici,seg_kobi,seg_bireysel,seg_kurumsal,tarih,izinli_sayi,isbasi_sayi,raporlu_sayi,tatil,gun_adi,ay_no,yil,ayin_gunu,hafta,arife_mi,tatil_mi,tatil_oncesi_mi,ay_sonu_mu,kisi_basi_yuk,yuk_grup,esnek_islem,esnek_oran,Esnek,Orta,yonlendirilebilir
2024-01-12,1718,55,0.9499417927823052,-26.94703143189756,88,498,1132,252,158,1308,2024-01-12,2,55,3,0,Friday,1,2024,12,2,0,0,0,0,31.23636363636364,Orta,410,0.23864959254947612,86,168,170.0
2024-01-13,2300,58,0.8704347826086957,-18.60434782608696,89,693,1518,617,444,1239,2024-01-13,1,58,1,0,Saturday,1,2024,13,2,0,0,0,0,39.6551724137931,Yüksek,1061,0.461304347826087,241,449,465.5
2024-01-14,888,57,0.981981981981982,-37.40990990990991,55,252,581,233,162,493,2024-01-14,2,57,1,0,Sunday,1,2024,14,2,0,0,0,0,15.578947368421051,Düşük,395,0.44481981981981983,86,182,177.0
2024-01-15,1647,52,0.9386763812993322,-24.766848816029142,73,487,1087,434,275,938,2024-01-15,6,52,2,0,Monday,1,2024,15,3,0,0,0,0,31.673076923076923,Orta,709,0.4304796599878567,162,291,307.5
2024-01-16,2622,59,0.8466819221967964,-15.070556826849732,126,798,1698,731,470,1421,2024-01-16,1,59,0,0,Tuesday,1,2024,16,3,0,0,0,0,44.440677966101696,Çok Yüksek,1201,0.458047292143402,266,499,515.5
2024-01-17,1466,54,0.9815825375170532,-32.3806275579809,75,457,934,427,251,788,2024-01-17,4,54,2,0,Wednesday,1,2024,17,3,0,0,0,0,27.14814814814815,Düşük,678,0.46248294679399726,128,289,272.5
2024-01-18,1690,57,0.9656804733727812,-31.7414201183432,97,494,1099,476,304,910,2024-01-18,3,57,0,0,Thursday,1,2024,18,3,0,0,0,0,29.649122807017545,Orta,780,0.46153846153846156,180,300,330.0
2024-01-19,1887,52,0.9019607843137256,-21.18918918918919,88,557,1242,281,165,1441,2024-01-19,3,52,5,0,Friday,1,2024,19,3,0,0,0,0,36.28846153846154,Yüksek,446,0.2363540010598834,85,192,181.0
2024-01-20,1804,58,0.943458980044346,-27.383037694013304,90,553,1161,499,319,986,2024-01-20,2,58,0,0,Saturday,1,2024,20,3,0,0,0,0,31.103448275862068,Orta,818,0.4534368070953437,173,354,350.0
2024-01-21,800,57,0.9875,-37.70125,43,250,507,223,150,427,2024-01-21,2,57,1,0,Sunday,1,2024,21,3,0,0,0,0,14.035087719298245,Düşük,373,0.46625,87,163,168.5
2024-01-22,1754,53,0.9264538198403648,-24.359749144811857,71,509,1174,452,343,959,2024-01-22,1,53,6,0,Monday,1,2024,22,4,0,0,0,0,33.094339622641506,Orta,795,0.4532497149372862,180,334,347.0
2024-01-23,2114,54,0.8727530747398297,-18.030747398297063,103,649,1362,590,359,1165,2024-01-23,4,54,2,0,Tuesday,1,2024,23,4,0,0,0,0,39.14814814814815,Yüksek,949,0.4489120151371807,193,418,402.0
2024-01-24,1593,55,0.9535467671060892,-27.47583176396736,75,467,1051,418,268,907,2024-01-24,5,55,0,0,Wednesday,1,2024,24,4,0,0,0,0,28.963636363636365,Orta,686,0.43063402385436284,146,281,286.5
2024-01-25,1572,60,0.9840966921119592,-29.137404580152676,73,468,1031,434,274,864,2024-01-25,0,60,0,0,Thursday,1,2024,25,4,0,0,0,0,26.2,Düşük,708,0.45038167938931295,166,292,312.0
2024-01-26,1779,57,0.9460370994940978,-30.69196177627881,94,549,1136,270,185,1324,2024-01-26,1,57,2,0,Friday,1,2024,26,4,0,0,0,0,31.210526315789476,Orta,455,0.25576166385609894,95,206,198.0
2024-01-27,2105,58,0.8969121140142517,-23.52589073634204,116,624,1365,580,365,1160,2024-01-27,2,58,0,0,Saturday,1,2024,27,4,0,0,0,0,36.293103448275865,Yüksek,945,0.4489311163895487,177,439,396.5
2024-01-28,817,56,0.9718482252141984,-30.9718482252142,37,241,539,245,138,434,2024-01-28,3,56,1,0,Sunday,1,2024,28,4,0,0,0,0,14.589285714285714,Düşük,383,0.46878824969400246,78,164,160.0
2024-01-29,2128,55,0.8858082706766918,-18.780075187969924,104,623,1401,295,212,1621,2024-01-29,3,55,2,0,Monday,1,2024,29,5,0,0,0,1,38.69090909090909,Yüksek,507,0.23825187969924813,113,227,226.5
2024-01-30,3059,53,0.7054593004249755,14.62406015037594,148,986,1925,409,311,2339,2024-01-30,6,53,1,0,Tuesday,1,2024,30,5,0,0,0,1,57.71698113207548,Çok Yüksek,720,0.2353710362863681,174,308,328.0
2024-01-31,1896,58,0.9251054852320676,-26.3539029535865,86,573,1237,294,176,1426,2024-01-31,2,58,0,0,Wednesday,1,2024,31,5,0,0,0,1,32.689655172413794,Orta,470,0.2478902953586498,105,200,205.0
2024-02-01,1560,58,0.9846153846153848,-30.372435897435896,71,468,1021,397,282,881,2024-02-01,2,58,0,0,Thursday,2,2024,1,5,0,0,0,0,26.89655172413793,Düşük,679,0.43525641025641026,152,288,296.0
2024-02-02,1956,57,0.925357873210634,-26.253067484662576,104,589,1263,325,185,1446,2024-02-02,2,57,1,0,Friday,2,2024,2,5,0,0,0,0,34.31578947368421,Orta,510,0.2607361963190184,95,226,208.0
2024-02-03,2261,55,0.8726227333038479,-10.895179124281292,105,655,1501,618,374,1269,2024-02-03,3,55,2,0,Saturday,2,2024,3,5,0,0,0,0,41.10909090909091,Yüksek,992,0.4387439186200796,196,438,415.0
2024-02-04,844,55,0.985781990521327,-33.926540284360186,40,237,567,245,156,443,2024-02-04,4,55,1,0,Sunday,2,2024,4,5,0,0,0,0,15.345454545454546,Düşük,401,0.47511848341232227,93,159,172.5
2024-02-05,1636,56,0.9578239608801956,-30.023838630806846,97,489,1050,445,281,910,2024-02-05,3,56,1,0,Monday,2,2024,5,6,0,0,0,0,29.214285714285715,Orta,726,0.44376528117359415,150,309,304.5
2024-02-06,2092,56,0.8996175908221797,-21.873804971319316,95,678,1319,609,383,1100,2024-02-06,2,56,2,0,Tuesday,2,2024,6,6,0,0,0,0,37.35714285714285,Yüksek,992,0.47418738049713194,198,436,416.0
2024-02-07,1411,57,0.9879518072289156,-33.98086463501063,71,413,927,409,254,748,2024-02-07,3,57,0,0,Wednesday,2,2024,7,6,0,0,0,0,24.75438596491228,Düşük,663,0.46987951807228917,146,285,288.5
2024-02-08,1669,57,0.9490713001797484,-29.08208508088676,88,500,1081,469,300,900,2024-02-08,2,57,1,0,Thursday,2,2024,8,6,0,0,0,0,29.28070175438597,Orta,769,0.46075494307968845,150,355,327.5
2024-02-09,1962,55,0.900611620795107,-21.6605504587156,102,589,1271,285,182,1495,2024-02-09,4,55,1,0,Friday,2,2024,9,6,0,0,0,0,35.67272727272727,Yüksek,467,0.23802242609582058,104,186,197.0
2024-02-10,2299,57,0.8673336233144846,-16.520226185297954,100,681,1518,642,364,1293,2024-02-10,2,57,1,0,Saturday,2,2024,10,6,0,0,0,0,40.333333333333336,Yüksek,1006,0.43758155719878206,193,447,416.5
2024-02-11,831,58,0.9843561973525872,-29.1468110709988,36,246,549,231,146,454,2024-02-11,1,58,1,0,Sunday,2,2024,11,6,0,0,0,0,14.327586206896552,Düşük,377,0.4536702767749699,90,141,160.5
2024-02-12,1560,56,0.9705128205128204,-37.48205128205128,97,424,1039,389,270,901,2024-02-12,3,56,1,0,Monday,2,2024,12,7,0,0,0,0,27.857142857142858,Düşük,659,0.42243589743589743,159,255,286.5
2024-02-13,2385,57,0.849895178197065,-14.69895178197065,131,706,1548,651,398,1336,2024-02-13,0,57,3,0,Tuesday,2,2024,13,7,0,0,0,0,41.8421052631579,Çok Yüksek,1049,0.439832285115304,231,442,452.0
2024-02-14,1479,58,0.9837728194726166,-32.42663962136579,72,419,988,409,273,797,2024-02-14,2,58,0,0,Wednesday,2,2024,14,7,0,0,0,0,25.5,Düşük,682,0.46112237998647737,123,331,288.5
2024-02-15,1623,56,0.96241528034504,-24.620455945779423,73,447,1103,422,284,917,2024-02-15,1,56,3,0,Thursday,2,2024,15,7,0,0,0,0,28.982142857142858,Orta,706,0.4349969192852742,163,292,309.0
2024-02-16,1862,57,0.9446831364124596,-29.585929108485495,105,544,1213,284,178,1400,2024-02-16,3,57,0,0,Friday,2,2024,16,7,0,0,0,0,32.666666666666664,Orta,462,0.24812030075187969,94,208,198.0
2024-02-17,2235,57,0.8729306487695749,-12.114541387024609,101,644,1490,608,438,1189,2024-02-17,3,57,0,0,Saturday,2,2024,17,7,0,0,0,0,39.21052631578947,Yüksek,1046,0.4680089485458613,241,461,471.5
2024-02-18,766,58,0.9830287206266318,-31.35248041775457,40,217,509,242,126,398,2024-02-18,1,58,1,0,Sunday,2,2024,18,7,0,0,0,0,13.20689655172414,Düşük,368,0.4804177545691906,67,164,149.0
2024-02-19,1555,54,0.9607717041800644,-30.290032154340835,83,477,995,451,303,801,2024-02-19,5,54,1,0,Monday,2,2024,19,8,0,0,0,0,28.796296296296298,Düşük,754,0.48488745980707393,172,309,326.5
2024-02-20,2312,55,0.8650519031141869,-20.08607266435986,111,750,1451,640,394,1278,2024-02-20,4,55,1,0,Tuesday,2,2024,20,8,0,0,0,0,42.03636363636364,Çok Yüksek,1034,0.4472318339100346,217,445,439.5
2024-02-21,1604,59,0.9713216957605983,-29.47506234413965,82,470,1052,457,284,863,2024-02-21,0,59,1,0,Wednesday,2,2024,21,8,0,0,0,0,27.1864406779661,Düşük,741,0.4619700748129676,162,305,314.5
2024-02-22,1665,59,0.9627627627627628,-29.665465465465463,82,488,1095,441,312,912,2024-02-22,1,59,0,0,Thursday,2,2024,22,8,0,0,0,0,28.220338983050848,Düşük,753,0.45225225225225224,151,348,325.0
2024-02-23,1781,58,0.9432902863559798,-29.53846153846154,97,548,1136,263,177,1341,2024-02-23,1,58,1,0,Friday,2,2024,23,8,0,0,0,0,30.70689655172414,Orta,440,0.24705221785513756,104,181,194.5
2024-02-24,2135,58,0.911007025761124,-23.885245901639344,105,612,1418,566,371,1198,2024-02-24,1,58,1,0,Saturday,2,2024,24,8,0,0,0,0,36.810344827586206,Yüksek,937,0.4388758782201405,211,387,404.5
2024-02-25,846,57,0.983451536643026,-31.962174940898347,41,259,546,237,157,452,2024-02-25,3,57,0,0,Sunday,2,2024,25,8,0,0,0,0,14.842105263157896,Düşük,394,0.4657210401891253,92,176,180.0
2024-02-26,1907,53,0.9071840587309912,-24.319874147876245,100,587,1220,541,320,1046,2024-02-26,5,53,2,0,Monday,2,2024,26,9,0,0,0,0,35.9811320754717,Yüksek,861,0.45149449396958574,184,372,370.0
2024-02-27,2737,56,0.8052612349287541,-9.61015710632079,124,799,1814,404,268,2065,2024-02-27,1,56,3,0,Tuesday,2,2024,27,9,0,0,0,1,48.875,Çok Yüksek,672,0.24552429667519182,132,325,294.5
2024-02-28,1873,56,0.9225840896956754,-25.63801388147357,86,565,1222,324,177,1372,2024-02-28,3,56,1,0,Wednesday,2,2024,28,9,0,0,0,1,33.44642857142857,Orta,501,0.26748531767218364,101,202,202.0
2024-02-29,2001,54,0.9005497251374313,-21.794602698650674,101,618,1282,288,192,1521,2024-02-29,2,54,4,0,Thursday,2,2024,29,9,0,0,0,1,37.05555555555556,Yüksek,480,0.239880059970015,108,207,211.5
2024-03-01,2002,57,0.912087912087912,-21.39110889110889,88,591,1323,325,189,1488,2024-03-01,1,57,2,0,Friday,3,2024,1,9,0,0,0,0,35.12280701754386,Yüksek,514,0.25674325674325676,113,199,212.5
2024-03-02,1974,54,0.8971631205673759,-24.817122593718334,108,561,1305,544,336,1094,2024-03-02,5,54,1,0,Saturday,3,2024,2,9,0,0,0,0,36.55555555555556,Yüksek,880,0.4457953394123607,175,389,369.5
2024-03-03,887,58,0.9774520856820744,-32.10372040586246,46,282,559,256,175,456,2024-03-03,1,58,1,0,Sunday,3,2024,3,9,0,0,0,0,15.29310344827586,Düşük,431,0.4859075535512965,97,185,189.5
2024-03-04,1802,58,0.9461709211986682,-24.819644839067703,95,507,1200,459,316,1027,2024-03-04,2,58,0,0,Monday,3,2024,4,10,0,0,0,0,31.06896551724138,Orta,775,0.4300776914539401,163,321,323.5
2024-03-05,2399,58,0.8645268862025844,-22.80116715298041,126,786,1487,679,432,1288,2024-03-05,1,58,1,0,Tuesday,3,2024,5,10,0,0,0,0,41.36206896551724,Yüksek,1111,0.46310962901208835,239,483,480.5
2024-03-06,1488,56,0.9811827956989247,-30.216397849462364,72,464,952,406,245,837,2024-03-06,3,56,1,0,Wednesday,3,2024,6,10,0,0,0,0,26.571428571428573,Düşük,651,0.4375,136,273,272.5
2024-03-07,1571,53,0.9579885423297264,-31.50286441756843,81,448,1042,441,253,877,2024-03-07,5,53,2,0,Thursday,3,2024,7,10,0,0,0,0,29.641509433962263,Orta,694,0.44175684277530236,130,288,274.0
2024-03-08,2010,55,0.9059701492537312,-26.33333333333333,115,637,1258,292,189,1529,2024-03-08,4,55,1,0,Friday,3,2024,8,10,0,0,0,0,36.54545454545455,Yüksek,481,0.2393034825870647,95,194,192.0
2024-03-09,2057,58,0.9183276616431696,-25.547885269810404,92,613,1352,521,406,1130,2024-03-09,1,58,1,0,Saturday,3,2024,9,10,0,0,0,0,35.46551724137931,Yüksek,927,0.45065629557608167,219,412,425.0
2024-03-10,800,59,0.98,-31.69375,42,243,515,201,147,452,2024-03-10,1,59,0,0,Sunday,3,2024,10,10,0,0,0,0,13.559322033898304,Düşük,348,0.435,78,154,155.0
2024-03-11,1826,53,0.9145673603504928,-26.26670317634173,101,550,1175,517,309,1000,2024-03-11,4,53,3,0,Monday,3,2024,11,11,0,0,0,0,34.45283018867924,Orta,826,0.452354874041621,182,336,350.0
2024-03-12,2320,58,0.878448275862069,-17.15603448275862,119,666,1535,623,395,1302,2024-03-12,1,58,1,0,Tuesday,3,2024,12,11,0,0,0,0,40.0,Yüksek,1018,0.4387931034482759,211,422,422.0
2024-03-13,1426,57,0.979663394109397,-26.09537166900421,45,450,931,372,257,797,2024-03-13,2,57,1,0,Wednesday,3,2024,13,11,0,0,0,0,25.017543859649123,Düşük,629,0.44109396914446003,136,275,273.5
2024-03-14,1764,58,0.953514739229025,-29.375283446712015,97,523,1144,504,324,936,2024-03-14,2,58,0,0,Thursday,3,2024,14,11,0,0,0,0,30.41379310344828,Orta,828,0.46938775510204084,193,341,363.5
2024-03-15,1983,52,0.8905698436712053,-19.15229450327786,100,581,1302,310,189,1484,2024-03-15,6,52,2,0,Friday,3,2024,15,11,0,0,0,0,38.13461538461539,Yüksek,499,0.25163893091275846,110,205,212.5
2024-03-16,2405,59,0.856964656964657,-18.6981288981289,116,751,1538,655,441,1309,2024-03-16,0,59,1,0,Saturday,3,2024,16,11,0,0,0,0,40.76271186440678,Yüksek,1096,0.45571725571725574,220,496,468.0
2024-03-17,901,57,0.9900110987791344,-30.15538290788013,36,290,575,225,181,495,2024-03-17,2,57,1,0,Sunday,3,2024,17,11,0,0,0,0,15.807017543859647,Düşük,406,0.4506104328523862,98,171,183.5
2024-03-18,1601,56,0.9594003747657714,-29.23360399750156,72,504,1025,433,281,887,2024-03-18,3,56,1,0,Monday,3,2024,18,12,0,0,0,0,28.589285714285715,Düşük,714,0.44597126795752656,142,332,308.0
2024-03-19,2653,57,0.8232189973614775,-8.717301168488504,134,753,1766,688,482,1483,2024-03-19,2,57,1,0,Tuesday,3,2024,19,12,0,0,0,0,46.54385964912281,Çok Yüksek,1170,0.4410101771579344,254,527,517.5
2024-03-20,1636,57,0.9559902200488998,-27.54645476772616,86,483,1067,475,306,855,2024-03-20,3,57,0,0,Wednesday,3,2024,20,12,0,0,0,0,28.70175438596491,Düşük,781,0.4773838630806846,156,334,323.0
2024-03-21,1712,58,0.9602803738317756,-33.19392523364486,86,538,1088,448,305,959,2024-03-21,2,58,0,0,Thursday,3,2024,21,12,0,0,0,0,29.517241379310345,Orta,753,0.4398364485981308,173,323,334.5
2024-03-22,1673,53,0.9479976090854751,-26.06575014943216,79,500,1094,258,165,1250,2024-03-22,5,53,2,0,Friday,3,2024,22,12,0,0,0,0,31.566037735849054,Orta,423,0.25283921099820683,96,165,178.5
2024-03-23,2053,56,0.893326838772528,-25.1656113005358,112,666,1275,567,398,1088,2024-03-23,3,56,1,0,Saturday,3,2024,23,12,0,0,0,0,36.660714285714285,Yüksek,965,0.47004383828543594,210,422,421.0
2024-03-24,842,58,0.978622327790974,-29.31235154394299,40,231,571,232,166,444,2024-03-24,2,58,0,0,Sunday,3,2024,24,12,0,0,0,0,14.517241379310343,Düşük,398,0.47268408551068886,91,175,178.5
2024-03-25,1707,50,0.9238429994141768,-25.560632688927942,83,515,1109,445,294,968,2024-03-25,6,50,4,0,Monday,3,2024,25,13,0,0,0,0,34.14,Orta,739,0.43292325717633273,158,314,315.0
2024-03-26,2129,57,0.8900892437764208,-19.705495537811174,98,674,1357,574,393,1162,2024-03-26,2,57,1,0,Tuesday,3,2024,26,13,0,0,0,0,37.35087719298246,Yüksek,967,0.4542038515735087,218,419,427.5
2024-03-27,1825,54,0.907945205479452,-32.1013698630137,115,517,1193,512,335,978,2024-03-27,4,54,2,0,Wednesday,3,2024,27,13,0,0,0,0,33.7962962962963,Orta,847,0.4641095890410959,187,376,375.0
2024-03-28,1528,58,0.9777486910994764,-28.541230366492147,70,461,997,420,259,849,2024-03-28,1,58,1,0,Thursday,3,2024,28,13,0,0,0,0,26.344827586206897,Düşük,679,0.4443717277486911,142,275,279.5
2024-03-29,2647,54,0.7997733282961843,-6.69550434454099,144,793,1710,417,262,1968,2024-03-29,4,54,2,0,Friday,3,2024,29,13,0,0,0,1,49.01851851851852,Çok Yüksek,679,0.2565168114846997,140,306,293.0
2024-03-30,3207,58,0.7371375116931712,2.7390084190832558,150,929,2128,449,324,2434,2024-03-30,1,58,1,0,Saturday,3,2024,30,13,0,0,0,1,55.293103448275865,Çok Yüksek,773,0.24103523542251326,162,329,326.5
2024-03-31,977,56,0.9744114636642784,-27.876151484135107,47,281,649,146,91,740,2024-03-31,2,56,2,0,Sunday,3,2024,31,13,0,0,0,1,17.446428571428573,Düşük,237,0.24257932446264074,54,98,103.0
2024-04-01,1746,55,0.9467353951890034,-29.0893470790378,94,482,1170,437,311,998,2024-04-01,4,55,1,0,Monday,4,2024,1,14,0,0,0,0,31.745454545454542,Orta,748,0.4284077892325315,170,301,320.5
2024-04-02,2049,55,0.8843338213762811,-15.879453391898489,93,619,1337,577,335,1137,2024-04-02,3,55,2,0,Tuesday,4,2024,2,14,0,0,0,0,37.25454545454546,Yüksek,912,0.445095168374817,192,393,388.5
2024-04-03,1879,56,0.9270888770622672,-26.159127195316657,114,565,1200,497,341,1041,2024-04-03,2,56,2,0,Wednesday,4,2024,3,14,0,0,0,0,33.55357142857143,Orta,838,0.44598190526875997,209,348,383.0
2024-04-04,1645,60,0.9720364741641336,-29.082066869300917,72,490,1083,483,264,898,2024-04-04,0,60,0,0,Thursday,4,2024,4,14,0,0,0,0,27.416666666666668,Düşük,747,0.4541033434650456,151,337,319.5
2024-04-05,1896,59,0.9277426160337552,-18.117088607594937,79,544,1273,282,198,1416,2024-04-05,0,59,1,0,Friday,4,2024,5,14,0,0,0,0,32.13559322033898,Orta,480,0.25316455696202533,105,219,214.5
2024-04-06,2065,54,0.8789346246973365,-18.628087167070216,89,601,1375,535,401,1129,2024-04-06,2,54,4,0,Saturday,4,2024,6,14,0,0,0,0,38.24074074074074,Yüksek,936,0.45326876513317194,225,397,423.5
2024-04-07,805,56,0.9888198757763976,-27.02360248447205,28,248,529,207,160,438,2024-04-07,1,56,3,0,Sunday,4,2024,7,14,0,0,0,0,14.375,Düşük,367,0.45590062111801244,79,171,164.5
2024-04-08,2427,58,0.8529048207663782,-15.481664606510094,110,704,1613,712,462,1253,2024-04-08,2,58,0,0,Monday,4,2024,8,15,0,0,1,0,41.8448275862069,Çok Yüksek,1174,0.48372476308199425,240,510,495.0
2024-04-09,2143,56,0.8922071861875875,-23.207186187587496,120,615,1408,602,389,1152,2024-04-09,2,56,2,0,Tuesday,4,2024,9,15,1,0,1,0,38.267857142857146,Yüksek,991,0.46243583761082596,205,424,417.0
2024-04-13,2353,58,0.8644283892902678,-21.297067573310667,115,679,1559,633,421,1299,2024-04-13,1,58,1,0,Saturday,4,2024,13,15,0,0,0,0,40.56896551724138,Yüksek,1054,0.44793880152996174,236,447,459.5
2024-04-14,932,57,0.9871244635193132,-33.53004291845494,41,283,608,255,170,507,2024-04-14,1,57,2,0,Sunday,4,2024,14,15,0,0,0,0,16.350877192982455,Düşük,425,0.4560085836909871,102,173,188.5
2024-04-15,1565,58,0.9789137380191694,-29.69137380191693,77,463,1025,449,276,840,2024-04-15,1,58,1,0,Monday,4,2024,15,16,0,0,0,0,26.98275862068965,Düşük,725,0.46325878594249204,147,331,312.5
2024-04-16,1836,58,0.9455337690631808,-27.98856209150327,100,551,1185,490,330,1016,2024-04-16,1,58,1,0,Tuesday,4,2024,16,16,0,0,0,0,31.655172413793103,Orta,820,0.4466230936819172,172,346,345.0
2024-04-17,1386,59,0.9790764790764792,-32.03896103896104,72,411,903,346,242,798,2024-04-17,1,59,0,0,Wednesday,4,2024,17,16,0,0,0,0,23.491525423728813,Düşük,588,0.42424242424242425,129,256,257.0
2024-04-18,1614,57,0.9659231722428748,-26.0272614622057,60,535,1019,400,294,920,2024-04-18,1,57,2,0,Thursday,4,2024,18,16,0,0,0,0,28.31578947368421,Düşük,694,0.42998760842627015,151,322,312.0
2024-04-19,1645,57,0.9610942249240122,-31.93373860182371,81,503,1061,233,173,1239,2024-04-19,3,57,0,0,Friday,4,2024,19,16,0,0,0,0,28.859649122807017,Orta,406,0.24680851063829787,93,175,180.5
2024-04-20,1790,54,0.9329608938547486,-30.639664804469277,89,547,1154,507,305,978,2024-04-20,4,54,2,0,Saturday,4,2024,20,16,0,0,0,0,33.148148148148145,Orta,812,0.45363128491620114,146,397,344.5
2024-04-21,1128,58,0.9822695035460992,-29.51595744680851,47,374,707,300,207,621,2024-04-21,1,58,1,0,Sunday,4,2024,21,16,0,0,1,0,19.448275862068964,Düşük,507,0.449468085106383,108,207,211.5
2024-04-22,3694,57,0.6762317271250676,10.227666486193828,183,1069,2442,975,692,2027,2024-04-22,1,57,2,0,Monday,4,2024,22,17,0,0,1,0,64.80701754385964,Çok Yüksek,1667,0.4512723335138062,385,709,739.5
2024-04-24,1503,54,0.9727212242182302,-37.28409846972721,88,423,992,436,264,803,2024-04-24,1,54,5,0,Wednesday,4,2024,24,17,0,0,0,0,27.83333333333333,Düşük,700,0.4657351962741184,149,298,298.0
2024-04-25,1790,59,0.9474860335195532,-28.956983240223465,88,564,1138,507,323,960,2024-04-25,0,59,1,0,Thursday,4,2024,25,17,0,0,0,0,30.338983050847457,Orta,830,0.46368715083798884,203,325,365.5
2024-04-26,1983,52,0.886535552193646,-21.70953101361573,93,593,1297,315,191,1477,2024-04-26,7,52,1,0,Friday,4,2024,26,17,0,0,0,0,38.13461538461539,Yüksek,506,0.2551689359556228,91,236,209.0
2024-04-27,2079,59,0.9086099086099086,-23.11880711880712,91,612,1376,551,373,1155,2024-04-27,1,59,0,0,Saturday,4,2024,27,17,0,0,0,0,35.23728813559322,Yüksek,924,0.4444444444444444,190,400,390.0
2024-04-28,1156,57,0.976643598615917,-34.449826989619375,58,359,739,162,120,874,2024-04-28,3,57,0,0,Sunday,4,2024,28,17,0,0,0,1,20.28070175438597,Düşük,282,0.24394463667820068,54,142,125.0
2024-04-29,2630,54,0.8159695817490494,-11.63384030418251,139,812,1679,391,254,1985,2024-04-29,5,54,1,0,Monday,4,2024,29,18,0,0,1,1,48.7037037037037,Çok Yüksek,645,0.24524714828897337,144,259,273.5
2024-04-30,4941,55,0.4584092289010322,72.67880995749849,240,1489,3212,743,503,3695,2024-04-30,3,55,2,0,Tuesday,4,2024,30,18,0,0,1,1,89.83636363636364,Çok Yüksek,1246,0.25217567294070026,254,546,527.0
2024-05-02,1490,54,0.97248322147651,-28.55973154362416,67,474,949,403,249,838,2024-05-02,4,54,2,0,Thursday,5,2024,2,18,0,0,0,0,27.59259259259259,Düşük,652,0.4375838926174497,129,285,271.5
2024-05-03,1971,59,0.9167935058346016,-27.19482496194825,120,558,1293,301,222,1448,2024-05-03,0,59,1,0,Friday,5,2024,3,18,0,0,0,0,33.40677966101695,Orta,523,0.26534753932014205,126,220,236.0
2024-05-04,1990,59,0.9251256281407036,-22.889447236180903,95,575,1320,567,340,1083,2024-05-04,1,59,0,0,Saturday,5,2024,4,18,0,0,0,0,33.728813559322035,Orta,907,0.4557788944723618,203,392,399.0
2024-05-05,904,59,0.9767699115044248,-29.11836283185841,45,267,592,260,170,474,2024-05-05,1,59,0,0,Sunday,5,2024,5,18,0,0,0,0,15.322033898305085,Düşük,430,0.4756637168141593,94,188,188.0
